objid,ra,dec,i,r,g,ra_px,dec_px
1237646587710014406,80.5968650770836,0.670074146372661,19.05148,19.41751,20.31288,367.77163133795636,714.4533084224857
1237646587710014081,80.5974232216013,0.696865092200966,17.14807,17.75949,19.1623,611.2871488055887,719.4105548530433
1237646587710014091,80.6004712092129,0.796316599057462,18.71481,18.83736,19.21984,1515.2484838740013,746.6867012990463
1237646587710014103,80.6015897759034,0.683814093539752,18.77043,18.8749,19.29852,492.662816709593,757.3519925908249
1237646587710013679,80.6030909849728,0.700600861426407,16.50243,16.6346,17.00228,645.2462147721437,770.9277165645358
1237646587710014105,80.6033850684958,0.839970172666189,18.06706,18.24708,18.7454,1912.037714814432,772.9878457660975
1237646587710014111,80.6044891231589,0.638883614825258,17.36384,18.10587,19.58909,84.27015916958464,783.9120964494297
1237646587710014119,80.6071733156541,0.643008997229643,15.64891,16.05481,17.1695,121.76916198008394,808.2999868903883
1237646587710014903,80.6097546650479,0.650977072800358,19.29544,19.76555,21.01398,194.19617441757896,831.735756247046
1237646587710014564,80.6123317933589,0.675784386312055,19.95268,20.15159,20.67502,419.68284655356786,855.0585898372917
1237646587710014565,80.6136698153077,0.832384924487561,20.24748,20.46468,21.10598,1843.097357475569,866.5314938020381
1237646587710014145,80.6189093190618,0.637244531127583,18.50427,18.62523,19.03094,69.37955683975133,915.035384388977
1237646587710014175,80.6241900834516,0.829597320908142,18.95816,19.12544,19.59249,1817.7654538816219,962.1955301353754
1237646587710014927,80.6250040011309,0.832125016103998,21.85805,22.06689,22.30247,1840.7413408887485,969.5845356789744
1237646587710014937,80.6270972472058,0.833022197998639,21.34242,21.54246,22.062,1848.8974690752211,988.6126079143049
1237646587710014181,80.629993765169,0.675050484362172,17.36035,17.69986,18.58508,413.0219796403991,1015.6524886030447
1237646587710014572,80.6316687460022,0.816790522028644,20.15873,20.31441,20.72888,1701.3628213496784,1030.249696962926
1237646587710013783,80.6366676387534,0.662375324407937,16.06061,16.27771,16.87517,297.81542612846704,1076.3910739108464
1237646587710014273,80.6559448704826,0.689409912164452,17.13856,17.3757,18.01761,543.5571044885646,1251.5470102532297
1237646587710014593,80.6605133713539,0.779705998114929,19.47601,19.66488,20.14652,1364.3024111442746,1292.6775144463845
1237646587710014293,80.6644589988691,0.725421248234369,17.11655,17.5385,18.64182,870.8861060145261,1328.7980279062558
1237646587710014456,80.6647024893489,0.691425163310952,18.29479,19.23653,20.77205,561.8802305698939,1331.1659387666455
1237646587710015057,80.6649823085177,0.813181010460476,20.05743,21.3701,22.80318,1668.5752794631344,1333.1585310593127
1237646587710014295,80.6649476180041,0.64907091911731,18.70037,19.10081,20.18013,176.9027233402246,1333.5866470704623
1237646587710014297,80.6657736883658,0.675956772907495,18.74156,18.91625,19.35675,421.2815185478943,1340.9758492700175
1237646587710015103,80.5263398906727,0.717568149032045,20.98805,22.35945,23.75462,799.4349472172506,73.0036973611692
1237646587710014681,80.538435686353,0.825297920753289,20.67917,22.12473,23.25998,1778.6451360817118,182.52316962890507
1237646587710014710,80.5473547217035,0.705999482055647,19.88405,20.92463,22.2912,694.2903701211549,264.12805580660773
1237646587710015152,80.5558623163679,0.843153645637223,21.66158,22.65428,24.49278,1940.951306895167,340.8918269764582
1237646587710014802,80.5734399019743,0.690846318299627,18.7687,20.2616,21.7761,556.5679274363101,501.3705672744604
1237646587710015170,80.5750970873078,0.770573998412326,21.02699,22.80743,24.33454,1281.2497046525891,516.0919034160946
1237646587710014844,80.5865926414519,0.700103772696958,19.53557,20.21315,21.68233,640.7195119839521,620.9203566760975
1237646587710014863,80.5905929422985,0.63851437348316,20.74783,21.18596,22.01209,80.90676203152293,657.5623215307032
1237646587710015202,80.5989875391876,0.836019277893022,20.48555,21.73991,24.08023,1876.1238485981064,733.0223771700903
1237646587710014887,80.5999182864055,0.675750170555763,20.96095,21.63698,23.42253,419.36522903967625,742.1895415319151
1237646587710015228,80.6185678027769,0.771613094131874,20.62718,21.92693,23.50296,1290.7168861152895,911.3341707355196
1237646587710014922,80.6202588406569,0.815819301299022,19.67428,20.70753,22.31366,1692.5283254330498,926.5132954765058
1237646587710014930,80.6255717793912,0.758447878046319,21.25738,21.59902,22.95142,1171.0562605819187,975.074691881276
1237646587710014953,80.6295735493313,0.772320410414937,21.0611,21.87259,23.04482,1297.1523085940075,1011.398072126
